comment_score,Negative,Positive
1,0.891049319,0.645392982
2079,1,0
404,1,0.75
319,0.5,0.5
-110,1,0
-19,0.826666667,0.68
153,0.944444444,0.555555556
115,0.95,0.4
718,1,1
96,0.925,0.55
250,1,0.333333333
-27,0.911764706,0.735294118
377,1,0
3121,1,1
3143,1,0
-2,0.883778437,0.627596439
1115,1,0
849,1,0
328,1,1
185,1,0.714285714
349,1,0.4
375,1,0
104,1,0.52
1232,1,0
219,0.857142857,0.714285714
368,1,1
1075,1,0
515,1,1
623,1,1
1622,1,0
449,1,0.5
1536,1,1
461,1,1
214,1,0.4
719,1,0
1493,1,0
874,1,1
252,1,0.5
593,1,0.5
419,1,1
556,1,1
818,1,1
10,0.927954972,0.55684803
120,0.909090909,0.515151515
-97,1,1
945,1,0
500,1,0.333333333
1037,1,1
423,1,0
89,0.96875,0.5625
521,1,0
1666,1,1
550,1,1
-131,1,1
361,1,1
644,0,0
537,0.666666667,0.333333333
1566,1,1
452,1,1
3793,1,1
364,1,0.5
870,1,0
501,1,1
1066,1,1
490,1,0.25
871,1,1
784,1,0.5
741,1,0
1543,1,1
403,1,1
975,1,0.5
2036,1,0
2009,1,1
356,0,0
128,0.95,0.5
197,1,0.7
1867,1,1
497,1,0
911,1,0
464,1,0.5
85,0.952380952,0.404761905
106,0.961538462,0.653846154
111,0.8,0.7
-28,0.75,0.636363636
301,1,0.2
411,1,0
548,1,0.333333333
2934,1,1
-124,1,0
-84,1,0.5
177,1,0.571428571
-17,0.854545455,0.690909091
950,1,1
-81,1,0.666666667
460,0.666666667,0.666666667
1764,1,0
797,1,0
563,1,0
448,1,0.333333333
557,1,1
1023,1,1
-160,1,1
306,1,1
179,1,0.4
-46,1,0.428571429
441,1,1
48,0.93125,0.65
67,0.932432432,0.662162162
755,1,0
224,1,0.545454545
168,0.833333333,0.833333333
142,0.80952381,0.619047619
254,1,0.666666667
324,1,0.333333333
481,1,0
749,1,1
100,0.9375,0.59375
528,0.5,0.5
247,1,0.666666667
467,1,0.5
1172,1,1
105,0.896551724,0.689655172
131,0.96,0.56
581,0.5,0
451,1,0.75
800,1,1
294,0.666666667,1
108,0.964285714,0.571428571
218,1,0.444444444
333,1,0.5
339,1,0.333333333
3771,1,1
1047,1,1
2487,1,1
44,0.91954023,0.540229885
132,0.952380952,0.666666667
471,1,0.5
309,1,0.5
540,1,0.666666667
392,1,0.5
947,1,1
804,1,0
1068,1,1
1332,1,1
552,1,0
123,1,0.555555556
127,1,0.631578947
683,1,0.666666667
1561,1,0
-103,1,0.5
951,1,1
746,1,1
1357,1,1
345,1,0.666666667
1007,1,1
210,0.9375,0.6875
-38,0.941176471,0.647058824
205,0.875,0.75
994,1,0.5
3141,1,0
323,1,0.6
352,1,0.666666667
225,1,0.5
4393,1,1
-6,0.870216306,0.660565724
383,1,0.857142857
249,1,0.777777778
381,0.5,0.5
822,1,0.5
220,0.923076923,0.538461538
-122,1,1
